	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.10	0.20	0.20	0.15	0.22	0.13	0
13	0.12	0.24	0.15	0.15	0.20	0.14	0
14	0.18	0.25	0.17	0.10	0.15	0.15	0
21	0	0.13	0.22	0.15	0.20	0.20	0.10
22	0	0	0	1	0	0	0
23	0.08	0.17	0.10	0.25	0.25	0.15	0
24	0.05	0.23	0.17	0.18	0.22	0.15	0
31	0	0.14	0.20	0.15	0.15	0.24	0.12
32	0	0.15	0.25	0.25	0.10	0.17	0.08
33	0	0	0	1	0	0	0
34	0.03	0.26	0.06	0.20	0.25	0.20	0
41	0	0.15	0.15	0.10	0.17	0.25	0.18
42	0	0.15	0.22	0.18	0.17	0.23	0.05
43	0	0.20	0.25	0.20	0.06	0.26	0.03
44	0	0	0	1	0	0	0

