	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.03	0.10	0.42	0.10	0.20	0.15	0
13	0.06	0.22	0.18	0.19	0.30	0.05	0
14	0.08	0.21	0.18	0.22	0.21	0.10	0
21	0	0.15	0.20	0.10	0.42	0.10	0.03
22	0	0	0	1	0	0	0
23	0.05	0.18	0.22	0.20	0.15	0.20	0
24	0.10	0.20	0.21	0.20	0.19	0.10	0
31	0	0.05	0.30	0.19	0.18	0.22	0.06
32	0	0.20	0.15	0.20	0.22	0.18	0.05
33	0	0	0	1	0	0	0
34	0.06	0.15	0.16	0.18	0.33	0.12	0
41	0	0.10	0.21	0.22	0.18	0.21	0.08
42	0	0.10	0.19	0.20	0.21	0.20	0.10
43	0	0.12	0.33	0.18	0.16	0.15	0.06
44	0	0	0	1	0	0	0

