	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.18	0.17	0.10	0.23	0.12	0.10	0.10
13	0.07	0.22	0.17	0.17	0.20	0.10	0.07
14	0	0.20	0.19	0.26	0.20	0.15	0
21	0.10	0.10	0.12	0.23	0.10	0.17	0.18
22	0	0	0	1	0	0	0
23	0	0.15	0.23	0.26	0.25	0.11	0
24	0	0.22	0.18	0.20	0.26	0.10	0.04
31	0.07	0.10	0.20	0.17	0.17	0.22	0.07
32	0	0.11	0.25	0.26	0.23	0.15	0
33	0	0	0	1	0	0	0
34	0.05	0.23	0.11	0.26	0.19	0.16	0
41	0	0.15	0.20	0.26	0.19	0.20	0
42	0.04	0.10	0.26	0.20	0.18	0.22	0
43	0	0.16	0.19	0.26	0.11	0.23	0.05
44	0	0	0	1	0	0	0

