	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0	0.17	0.53	0.10	0.05	0.15	0
13	0.16	0.27	0.16	0.19	0.22	0	0
14	0	0.29	0.18	0.20	0.17	0.16	0
21	0	0.15	0.05	0.10	0.53	0.17	0
22	0	0	0	1	0	0	0
23	0	0.27	0.25	0.23	0.20	0.05	0
24	0.14	0.20	0.18	0.20	0.18	0.10	0
31	0	0	0.22	0.19	0.16	0.27	0.16
32	0	0.05	0.20	0.23	0.25	0.27	0
33	0	0	0	1	0	0	0
34	0.05	0.18	0.10	0.27	0.24	0.16	0
41	0	0.16	0.17	0.20	0.18	0.29	0
42	0	0.10	0.18	0.20	0.18	0.20	0.14
43	0	0.16	0.24	0.27	0.10	0.18	0.05
44	0	0	0	1	0	0	0

