	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0	0.06	0.28	0.18	0.26	0.22	0
13	0	0.15	0.21	0.20	0.32	0.12	0
14	0.10	0.16	0.22	0.28	0.16	0.08	0
21	0	0.22	0.26	0.18	0.28	0.06	0
22	0	0	0	1	0	0	0
23	0	0.18	0.17	0.23	0.28	0.14	0
24	0	0.10	0.26	0.27	0.22	0.15	0
31	0	0.12	0.32	0.20	0.21	0.15	0
32	0	0.14	0.28	0.23	0.17	0.18	0
33	0	0	0	1	0	0	0
34	0.05	0.13	0.15	0.21	0.30	0.16	0
41	0	0.08	0.16	0.28	0.22	0.16	0.10
42	0	0.15	0.22	0.27	0.26	0.10	0
43	0	0.16	0.30	0.21	0.15	0.13	0.05
44	0	0	0	1	0	0	0

