	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0	0.17	0.10	0.23	0.25	0.25	0
13	0	0.22	0.17	0.17	0.20	0.24	0
14	0	0.20	0.19	0.20	0.26	0.15	0
21	0	0.25	0.25	0.23	0.10	0.17	0
22	0	0	0	1	0	0	0
23	0	0.15	0.25	0.26	0.23	0.11	0
24	0	0.20	0.16	0.20	0.26	0.18	0
31	0	0.24	0.20	0.17	0.17	0.22	0
32	0	0.11	0.23	0.26	0.25	0.15	0
33	0	0	0	1	0	0	0
34	0	0.20	0.11	0.26	0.22	0.21	0
41	0	0.15	0.26	0.20	0.19	0.20	0
42	0	0.18	0.26	0.20	0.16	0.20	0
43	0	0.21	0.22	0.26	0.11	0.20	0
44	0	0	0	1	0	0	0

