	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.08	0.20	0.20	0.20	0.22	0.10	0
13	0.12	0.23	0.15	0.15	0.20	0.15	0
14	0.18	0.25	0.12	0.10	0.15	0.15	0.05
21	0	0.10	0.22	0.20	0.20	0.20	0.08
22	0	0	0	1	0	0	0
23	0.07	0.10	0.10	0.25	0.25	0.15	0.08
24	0.05	0.23	0.10	0.10	0.22	0.15	0.15
31	0	0.15	0.20	0.15	0.15	0.23	0.12
32	0.08	0.15	0.25	0.25	0.10	0.10	0.07
33	0	0	0	1	0	0	0
34	0.03	0.26	0.06	0.10	0.15	0.20	0.20
41	0.05	0.15	0.15	0.10	0.12	0.25	0.18
42	0.15	0.15	0.22	0.10	0.10	0.23	0.05
43	0.20	0.20	0.15	0.10	0.06	0.26	0.03
44	0	0	0	1	0	0	0

