	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.20	0.05	0.25	0.20	0.30	0	0
13	0.10	0.15	0.05	0.10	0.20	0.15	0.25
14	0.13	0.05	0.07	0.10	0.10	0.50	0.05
21	0	0	0.30	0.20	0.25	0.05	0.20
22	0	0	0	1	0	0	0
23	0.08	0.10	0.17	0.25	0.25	0.15	0
24	0.05	0.15	0.10	0.10	0.15	0.30	0.15
31	0.25	0.15	0.20	0.10	0.05	0.15	0.10
32	0	0.15	0.25	0.25	0.17	0.10	0.08
33	0	0	0	1	0	0	0
34	0	0	0	0.35	0.15	0.35	0.15
41	0.05	0.50	0.10	0.10	0.07	0.05	0.13
42	0.15	0.30	0.15	0.10	0.10	0.15	0.05
43	0.15	0.35	0.15	0.35	0	0	0
44	0	0	0	1	0	0	0

