0	0	1	0	0
0.2	0.8	0	0	0
0	0	0.6	0.4	0
0	0.4	0.6	0	0
0	0	0	0.8	0.2
0	0	1	0	0
0	0	0	0.4	0.6
0	0	0.2	0.8	0
0	0.4	0.6	0	0
0.6	0.4	0	0	0
0	0	1	0	0
0.8	0.2	0	0	0
0	0	0.6	0.4	0
0	0.8	0.2	0	0
0	0	0	0.2	0.8
0	0	1	0	0
0	0	1	0	0
0	0	0.8	0.2	0
0	0	0.2	0.8	0
0	0	0	0.2	0.8
0	0.2	0.8	0	0
0	0	1	0	0
0	0	0.4	0.6	0
0	0	0	0.4	0.6
0	0.8	0.2	0	0
0	0.6	0.4	0	0
0	0	1	0	0
0	0	0	1	0
0.8	0.2	0	0	0
0.6	0.4	0	0	0
0	1	0	0	0
0	0	1	0	0
0	0	1	0	0
0	0	0.8	0.2	0
0	0	0.22	0.78	0
0	0	0	0.51	0.49
0	0.2	0.8	0	0
0	0	1	0	0
0	0	0.4	0.6	0
0	0	0	0.6	0.4
0	0.78	0.22	0	0
0	0.6	0.4	0	0
0	0	1	0	0
0	0	0	1	0
0.49	0.51	0	0	0
0.4	0.6	0	0	0
0	1	0	0	0
0	0	1	0	0
0	0	1	0	0
0	0	0.2	0.8	0
0	0	0	0.8	0.2
0	0	0	0.4	0.6
0	0.8	0.2	0	0
0	0	1	0	0
0	0	0.6	0.4	0
0	0	0.2	0.8	0
0.2	0.8	0	0	0
0	0.4	0.6	0	0
0	0	1	0	0
0	0	0.6	0.4	0
0.6	0.4	0	0	0
0	0.8	0.2	0	0
0	0.4	0.6	0	0
0	0	1	0	0
