	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0	0.15	0.30	0.15	0.22	0.18	0
13	0	0.20	0.15	0.15	0.35	0.15	0
14	0	0.25	0.20	0.25	0.15	0.15	0
21	0	0.18	0.22	0.15	0.30	0.15	0
22	0	0	0	1	0	0	0
23	0	0.17	0.20	0.23	0.25	0.15	0
24	0	0.23	0.17	0.18	0.27	0.15	0
31	0	0.15	0.35	0.15	0.15	0.20	0
32	0	0.15	0.25	0.23	0.20	0.17	0
33	0	0	0	1	0	0	0
34	0	0.26	0.09	0.20	0.25	0.20	0
41	0	0.15	0.15	0.25	0.20	0.25	0
42	0	0.15	0.27	0.18	0.17	0.23	0
43	0	0.20	0.25	0.20	0.09	0.26	0
44	0	0	0	1	0	0	0

