	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0	0.06	0.38	0.15	0.21	0.20	0
13	0	0.17	0.21	0.18	0.30	0.14	0
14	0	0.14	0.19	0.28	0.21	0.18	0
21	0	0.20	0.21	0.15	0.38	0.06	0
22	0	0	0	1	0	0	0
23	0	0.18	0.23	0.23	0.15	0.21	0
24	0	0.17	0.22	0.27	0.19	0.15	0
31	0	0.14	0.30	0.18	0.21	0.17	0
32	0	0.21	0.15	0.23	0.23	0.18	0
33	0	0	0	1	0	0	0
34	0	0.13	0.17	0.21	0.33	0.16	0
41	0	0.18	0.21	0.28	0.19	0.14	0
42	0	0.15	0.19	0.27	0.22	0.17	0
43	0	0.16	0.33	0.21	0.17	0.13	0
44	0	0	0	1	0	0	0

