	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.10	0.05	0.15	0.20	0.20	0.10	0.20
13	0.15	0.15	0.05	0.10	0.20	0.15	0.20
14	0.18	0.05	0.07	0.10	0.30	0.25	0.05
21	0.20	0.10	0.20	0.20	0.15	0.05	0.10
22	0	0	0	1	0	0	0
23	0	0.10	0.17	0.25	0.25	0.15	0.08
24	0.05	0.15	0.10	0.10	0.15	0.30	0.15
31	0.20	0.15	0.20	0.10	0.05	0.15	0.15
32	0.08	0.15	0.25	0.25	0.17	0.10	0
33	0	0	0	1	0	0	0
34	0.03	0.06	0.06	0.20	0.15	0.35	0.15
41	0.05	0.25	0.30	0.10	0.07	0.05	0.18
42	0.15	0.30	0.15	0.10	0.10	0.15	0.05
43	0.15	0.35	0.15	0.20	0.06	0.06	0.03
44	0	0	0	1	0	0	0

