	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.10	0.20	0.20	0.18	0.10	0.15	0.07
13	0.10	0.20	0.05	0.10	0.30	0.20	0.05
14	0.15	0.05	0.05	0.10	0.20	0.25	0.20
21	0.07	0.15	0.10	0.18	0.20	0.20	0.10
22	0	0	0	1	0	0	0
23	0.05	0.15	0.10	0.25	0.20	0.15	0.10
24	0.05	0.05	0.10	0.10	0.15	0.50	0.05
31	0.05	0.20	0.30	0.10	0.05	0.20	0.10
32	0.10	0.15	0.20	0.25	0.10	0.15	0.05
33	0	0	0	1	0	0	0
34	0.05	0.05	0.05	0.20	0.15	0.40	0.10
41	0.20	0.25	0.20	0.10	0.05	0.05	0.15
42	0.05	0.50	0.15	0.10	0.10	0.05	0.05
43	0.10	0.40	0.15	0.20	0.05	0.05	0.05
44	0	0	0	1	0	0	0

