	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.10	0.15	0.30	0.25	0.12	0.08	0
13	0	0.18	0.20	0.17	0.35	0.10	0
14	0	0.23	0.18	0.25	0.19	0.15	0
21	0	0.08	0.12	0.25	0.30	0.15	0.10
22	0	0	0	1	0	0	0
23	0	0.16	0.20	0.20	0.25	0.19	0
24	0	0.20	0.20	0.18	0.26	0.16	0
31	0	0.10	0.35	0.17	0.20	0.18	0
32	0	0.19	0.25	0.20	0.20	0.16	0
33	0	0	0	1	0	0	0
34	0	0.24	0.10	0.25	0.25	0.16	0
41	0	0.15	0.19	0.25	0.18	0.23	0
42	0	0.16	0.26	0.18	0.20	0.20	0
43	0	0.16	0.25	0.25	0.10	0.24	0
44	0	0	0	1	0	0	0

