	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0.18	0.10	0.42	0.10	0.05	0.15	0
13	0.06	0.22	0.26	0.19	0.22	0.05	0
14	0.08	0.20	0.18	0.21	0.17	0.10	0.06
21	0	0.15	0.05	0.10	0.42	0.10	0.18
22	0	0	0	1	0	0	0
23	0	0.22	0.30	0.20	0.05	0.21	0.02
24	0.10	0.20	0.24	0.20	0.16	0.10	0
31	0	0.05	0.22	0.19	0.26	0.22	0.06
32	0.02	0.21	0.05	0.20	0.30	0.22	0
33	0	0	0	1	0	0	0
34	0	0.15	0.20	0.22	0.27	0.16	0
41	0.06	0.10	0.17	0.21	0.18	0.20	0.08
42	0	0.10	0.16	0.20	0.24	0.20	0.10
43	0	0.16	0.27	0.22	0.20	0.15	0
44	0	0	0	1	0	0	0

