	-3	-2	-1	0	1	2	3
ij	0	1	2	3	4	5	6
11	0	0	0	1	0	0	0
12	0	0.10	0.38	0.14	0.20	0.18	0
13	0	0.21	0.20	0.17	0.30	0.12	0
14	0	0.18	0.18	0.27	0.21	0.16	0
21	0	0.18	0.20	0.14	0.38	0.10	0
22	0	0	0	1	0	0	0
23	0	0.22	0.22	0.22	0.15	0.19	0
24	0	0.21	0.21	0.26	0.19	0.13	0
31	0	0.12	0.30	0.17	0.20	0.21	0
32	0	0.19	0.15	0.22	0.22	0.22	0
33	0	0	0	1	0	0	0
34	0	0.17	0.16	0.20	0.33	0.14	0
41	0	0.16	0.21	0.27	0.18	0.18	0
42	0	0.13	0.19	0.26	0.21	0.21	0
43	0	0.14	0.33	0.20	0.16	0.17	0
44	0	0	0	1	0	0	0

